player,player_id,position,team_name,player_game_count,avg_depth_of_target,avoided_tackles,caught_percent,contested_catch_rate,contested_receptions,contested_targets,declined_penalties,drop_rate,drops,first_downs,franchise_id,fumbles,grades_hands_drop,grades_hands_fumble,grades_offense,grades_pass_block,grades_pass_route,inline_rate,inline_snaps,interceptions,longest,pass_block_rate,pass_blocks,pass_plays,penalties,receptions,route_rate,routes,slot_rate,slot_snaps,targeted_qb_rating,targets,touchdowns,wide_rate,wide_snaps,yards,yards_after_catch,yards_after_catch_per_reception,yards_per_reception,yprr
Antonio Gates,1609,TE,SD,17,9.4,13,72.5,,0,0,0,8.4,8,67,27,1,60.8,54.6,86.5,50.2,88.1,41.4,230,2,56,4.5,25,555,2,87,91.7,509,47.7,265,121.2,120,8,9.0,50,1250,561,6.4,14.4,2.46
DeSean Jackson,4363,WR,PHI,16,14.5,5,55.5,,0,0,0,7.0,5,42,24,2,67.5,28.3,70.4,,69.1,0.2,1,5,71,0.0,0,567,3,66,94.7,537,21.2,120,100.2,119,10,78.0,442,1182,443,6.7,17.9,2.2
Greg Jennings,2997,WR,GB,17,13.9,11,63.9,,0,0,0,5.0,4,53,12,0,78.0,81.9,80.4,,79.2,0.0,0,3,83,0.0,0,632,1,76,93.5,591,25.0,158,102.3,119,5,75.0,474,1243,539,7.1,16.4,2.1
Anquan Boldin,1369,WR,ARZ,15,8.6,7,72.0,,0,0,0,3.4,3,51,1,3,85.9,24.9,79.2,,77.2,0.6,3,2,44,0.0,0,535,2,85,96.1,514,66.0,353,105.5,118,5,33.1,177,1029,389,4.6,12.1,2.0
Kellen Winslow,1727,TE,TB,16,10.4,4,65.8,,0,0,0,6.1,5,48,30,0,69.8,82.1,73.1,70.3,75.1,52.7,295,1,42,4.3,24,560,4,77,90.9,509,41.4,232,99.7,117,5,5.5,31,902,268,3.5,11.7,1.77
Vernon Davis,2951,TE,SF,16,10.5,6,67.2,,0,0,0,14.3,13,40,28,0,29.5,81.9,70.0,56.1,70.3,54.1,329,4,73,10.5,64,608,12,78,85.7,521,41.8,254,115.8,116,13,2.8,17,965,334,4.3,12.4,1.85
Vincent Jackson,2278,WR,SD,16,17.7,3,65.2,,0,0,0,2.6,2,64,27,0,88.0,82.0,89.5,,87.7,0.0,0,4,55,0.0,0,566,2,75,95.8,542,28.3,160,114.3,115,9,71.7,406,1278,255,3.4,17.0,2.36
Donald Driver,533,WR,GB,17,12.7,11,64.3,,0,0,0,9.8,8,53,12,2,54.5,28.0,67.1,,67.4,0.0,0,3,71,0.0,0,659,3,74,93.8,618,77.2,509,102.6,115,6,22.8,150,1113,447,6.0,15.0,1.8
Santana Moss,786,WR,WAS,16,10.0,9,61.9,,0,0,1,11.4,9,41,32,2,46.9,27.6,61.1,,60.7,0.2,1,5,59,0.0,0,598,4,70,96.3,576,21.9,131,77.6,113,3,77.8,465,909,401,5.7,13.0,1.58
Austin Collie,5051,WR,IND,19,10.3,6,69.4,,0,0,1,4.9,4,49,14,0,72.6,82.2,72.7,,69.9,0.2,1,2,46,0.0,0,633,3,77,95.6,605,84.7,536,113.8,111,9,15.2,96,917,305,4.0,11.9,1.52
Brent Celek,3778,TE,PHI,17,7.9,9,71.2,,0,0,0,9.2,8,45,24,0,57.6,82.1,80.2,69.2,78.0,60.3,346,2,47,14.5,83,574,1,79,81.0,465,33.6,193,116.5,111,8,4.7,27,1027,471,6.0,13.0,2.21
Jerricho Cotchery,1829,WR,NYJ,17,11.0,6,64.5,,0,0,0,2.7,2,55,22,0,86.9,81.7,86.5,,85.1,0.2,1,7,53,0.0,0,449,0,71,96.9,435,45.4,204,76.9,110,3,54.3,244,1015,345,4.9,14.3,2.33
Bernard Berrian,1799,WR,MIN,18,11.0,9,62.0,,0,0,0,4.3,3,44,18,1,80.0,48.0,67.7,,67.8,0.0,0,4,40,0.0,0,606,3,67,95.0,576,9.7,59,79.7,108,4,90.3,547,752,267,4.0,11.2,1.31
Ray Rice,4369,HB,BLT,18,-0.1,30,80.6,,0,0,0,7.4,7,30,3,1,68.2,71.5,73.1,84.4,81.2,0.0,0,2,63,17.7,95,537,2,87,78.2,420,3.4,18,91.4,108,1,4.3,23,762,860,9.9,8.8,1.81
Davone Bess,4694,WR,MIA,16,7.5,11,71.7,,0,0,0,8.4,7,49,17,1,66.4,28.3,83.4,,84.4,0.0,0,5,34,0.0,0,389,1,76,95.6,372,40.4,157,78.3,106,2,59.6,232,760,331,4.4,10.0,2.04
Terrell Owens,188,WR,BUF,16,15.3,8,52.4,,0,0,0,14.1,9,33,4,0,42.3,81.2,66.1,,64.0,0.0,0,8,98,0.0,0,530,3,55,96.2,510,14.0,74,62.8,105,5,86.0,456,829,257,4.7,15.1,1.63
Greg Olsen,3647,TE,CHI,16,10.3,4,56.2,,0,0,0,3.3,2,33,6,0,82.9,80.3,71.5,46.5,69.9,59.5,336,4,41,10.1,57,565,2,59,86.9,491,25.1,142,82.7,105,8,8.1,46,612,187,3.2,10.4,1.25
Braylon Edwards,2220,WR,NYJ,19,16.5,8,49.0,,0,0,0,10.5,6,43,22,1,52.7,38.7,71.2,,71.2,0.0,0,11,80,0.0,0,534,6,51,96.1,513,15.0,80,52.9,104,5,85.0,454,836,275,5.4,16.4,1.63
Mike Sims-Walker,3695,WR,JAX,15,12.1,7,63.0,,0,0,0,3.1,2,43,15,2,84.6,26.6,75.4,68.8,74.0,0.2,1,4,61,0.2,1,521,3,63,95.6,498,16.9,88,97.5,100,7,82.9,432,869,256,4.1,13.8,1.74
Devery Henderson,1771,WR,NO,19,14.0,12,66.0,,0,0,0,8.3,6,42,20,0,61.2,81.6,66.9,65.7,67.0,0.0,0,4,75,0.2,1,569,3,66,96.3,548,27.8,158,94.8,100,4,72.2,411,986,332,5.0,14.9,1.8
Nate Burleson,1386,WR,SEA,13,11.2,5,63.0,,0,0,1,10.0,7,44,29,1,59.0,46.0,70.8,,70.3,0.0,0,2,44,0.0,0,493,2,63,97.4,480,10.3,51,90.1,100,3,89.7,442,812,280,4.4,12.9,1.69
